plant_name,cell_fname,leaf_id,leaf_orientation,categories
Ceratostigma_minus,3-07-400x-1-01,3.7,abaxial,stomates
Ceratostigma_minus,3-07-400x-1-02,3.7,abaxial,stomates
Ceratostigma_minus,3-07-400x-1-03,3.7,abaxial,stomates
Ceratostigma_minus,3-07-400x-1-04,3.7,abaxial,stomates
Ceratostigma_minus,3-07-400x-2-01,3.7,adaxial,stomates
Ceratostigma_minus,3-07-400x-2-03,3.7,adaxial,stomates
Ceratostigma_minus,3-07-400x-2-04,3.7,adaxial,stomates
Rosa_mollis,3-15-700x-1-01,3.15,adaxial,veines
Rosa_mollis,3-15-700x-1-02,3.15,adaxial,veines
Rosa_mollis,3-15-700x-1-03,3.15,adaxial,veines
Rosa_mollis,3-15-700x-1-04,3.15,adaxial,veines
Rosa_mollis,3-15-700x-1-05,3.15,adaxial,veines
Persicaria_virginiana,4-01-700x-2-01,4.1,adaxial,veines
Persicaria_virginiana,4-01-700x-2-02,4.1,adaxial,veines
Persicaria_virginiana,4-01-700x-2-03,4.1,adaxial,veines
Persicaria_virginiana,4-01-700x-2-04,4.1,adaxial,veines
Persicaria_virginiana,4-01-700x-2-05,4.1,adaxial,veines
Persicaria_virginiana,4-01-700x-2-06,4.1,adaxial,veines
Polygonum_chinense,4-02-700x-2-01,4.2,adaxial,veines
Polygonum_chinense,4-02-700x-2-02,4.2,adaxial,veines
Polygonum_chinense,4-02-700x-2-03,4.2,adaxial,veines
Polygonum_chinense,4-02-700x-2-04,4.2,adaxial,veines
Polygonum_chinense,4-02-700x-2-05,4.2,adaxial,veines
Paeonia_tenuifolia,4-15-400x-2-01,4.15,adaxial,veines
Paeonia_tenuifolia,4-15-400x-2-02,4.15,adaxial,veines
Paeonia_tenuifolia,4-15-400x-2-03,4.15,adaxial,veines
Paeonia_tenuifolia,4-15-400x-2-04,4.15,adaxial,veines
Aconitum_carmichaelii,4-17-400x-2-01,4.17,adaxial,puzzle
Aconitum_carmichaelii,4-17-400x-2-02,4.17,adaxial,puzzle
Aconitum_carmichaelii,4-17-400x-2-03,4.17,adaxial,veines
Beta_vulgaris,5-22-400x-1-01,5.22,adaxial,stomates
Beta_vulgaris,5-22-400x-1-02,5.22,adaxial,veines
Beta_vulgaris,5-22-400x-1-03,5.22,adaxial,stomates
Beta_vulgaris,5-22-400x-1-04,5.22,adaxial,veines
Beta_vulgaris,5-22-400x-1-05,5.22,adaxial,stomates
Beta_vulgaris,5-22-400x-2-01,5.22,abaxial,veines
Beta_vulgaris,5-22-400x-2-02,5.22,abaxial,veines
Beta_vulgaris,5-22-400x-2-03,5.22,abaxial,veines
Beta_vulgaris,5-22-400x-2-04,5.22,abaxial,veines
Beta_vulgaris,5-22-400x-2-05,5.22,abaxial,veines
Galium_rubioides,6-19-400x-1-01,6.19,NaN,veines
Galium_rubioides,6-19-400x-1-02,6.19,NaN,veines
Galium_rubioides,6-19-400x-1-03,6.19,NaN,veines
Galium_rubioides,6-19-400x-1-04,6.19,NaN,veines
Galium_odoratum,6-21-400x-2-01,6.21,adaxial,veines
Galium_odoratum,6-21-400x-2-02,6.21,adaxial,veines
Galium_odoratum,6-21-400x-2-03,6.21,adaxial,veines
Galium_odoratum,6-21-400x-2-04,6.21,adaxial,puzzle
Danae_racemosa,7-01-700x-t2-01,7.1,adaxial,longues
Danae_racemosa,7-01-700x-t2-02,7.1,adaxial,longues
Danae_racemosa,7-01-700x-t2-03,7.1,adaxial,longues
Danae_racemosa,7-01-700x-t2-04,7.1,adaxial,longues
Danae_racemosa,7-01-700x-t2-05,7.1,adaxial,longues
Danae_racemosa,7-01-700x-t-01,7.1,abaxial,longues
Danae_racemosa,7-01-700x-t-02,7.1,abaxial,longues
Danae_racemosa,7-01-700x-t-03,7.1,abaxial,longues
Danae_racemosa,7-01-700x-t-04,7.1,abaxial,longues
Danae_racemosa,7-01-700x-t-05,7.1,abaxial,longues
Rohdea_japonica,7-15-400x-1-01,7.15,abaxial,stomates
Rohdea_japonica,7-15-400x-1-02,7.15,abaxial,stomates
Rohdea_japonica,7-15-400x-1-03,7.15,abaxial,stomates
Rohdea_japonica,7-15-400x-1-04,7.15,abaxial,stomates
Rohdea_japonica,7-15-400x-1-05,7.15,abaxial,stomates
Rohdea_japonica,7-15-400x-2-01,7.15,adaxial,longues
Rohdea_japonica,7-15-400x-2-02,7.15,adaxial,longues
Rohdea_japonica,7-15-400x-2-03,7.15,adaxial,longues
Rohdea_japonica,7-15-400x-2-04,7.15,adaxial,longues
Rohdea_japonica,7-15-400x-2-05,7.15,adaxial,longues
Alstroemeria_aurea,7-23-400x-2-01,7.23,adaxial,croco
Alstroemeria_aurea,7-23-400x-2-02,7.23,adaxial,croco
Alstroemeria_aurea,7-23-400x-2-03,7.23,adaxial,croco
Alstroemeria_aurea,7-23-400x-2-04,7.23,adaxial,croco
Alstroemeria_aurea,7-23-400x-2-05,7.23,adaxial,croco
Hemerocallis_fulva,7-24-400x-1-01,7.24,abaxial,longues
Hemerocallis_fulva,7-24-400x-1-02,7.24,abaxial,longues
Hemerocallis_fulva,7-24-400x-1-04,7.24,abaxial,longues
Hemerocallis_fulva,7-24-400x-1-05,7.24,abaxial,longues
Jasminum fruticans,8-06-700x-2-01,8.6,NaN,puzzle
Jasminum fruticans,8-06-700x-2-02,8.6,NaN,puzzle
Jasminum fruticans,8-06-700x-2-03,8.6,NaN,puzzle
Jasminum fruticans,8-06-700x-2-04,8.6,NaN,puzzle
Ceratostigma_minus,3-07-400x-2-02,3.7,adaxial,NaN
Rosa_mollis,3-15-700x-2-01,3.15,abaxial,NaN
Rosa_mollis,3-15-700x-2-02,3.15,abaxial,NaN
Rosa_mollis,3-15-700x-2-03,3.15,abaxial,NaN
Rosa_mollis,3-15-700x-2-04,3.15,abaxial,NaN
Rosa_mollis,3-15-700x-2-05,3.15,abaxial,NaN
Persicaria_virginiana,4-01-700x-1-01,4.1,abaxial,NaN
Persicaria_virginiana,4-01-700x-1-02,4.1,abaxial,NaN
Persicaria_virginiana,4-01-700x-1-03,4.1,abaxial,NaN
Persicaria_virginiana,4-01-700x-1-04,4.1,abaxial,NaN
Polygonum_chinense,4-02-700x-1-01,4.2,abaxial,NaN
Polygonum_chinense,4-02-700x-1-02,4.2,abaxial,NaN
Polygonum_chinense,4-02-700x-1-03,4.2,abaxial,NaN
Polygonum_chinense,4-02-700x-1-04,4.2,abaxial,NaN
Polygonum_chinense,4-02-700x-1-05,4.2,abaxial,NaN
Aconitum_carmichaelii,4-17-400x-1-01,4.17,abaxial,NaN
Aconitum_carmichaelii,4-17-400x-1-02,4.17,abaxial,NaN
Aconitum_carmichaelii,4-17-400x-1-03,4.17,abaxial,NaN
Aconitum_carmichaelii,4-17-400x-1-04,4.17,abaxial,NaN
Aconitum_carmichaelii,4-17-400x-1-05,4.17,abaxial,NaN
Aconitum_carmichaelii,4-17-400x-2-04,4.17,adaxial,NaN
Succisella_inflexa,5-20-700x-2-01,5.2,adaxial,NaN
Succisella_inflexa,5-20-700x-2-02,5.2,adaxial,NaN
Succisella_inflexa,5-20-700x-2-03,5.2,adaxial,NaN
Succisella_inflexa,5-20-700x-2-04,5.2,adaxial,NaN
Succisella_inflexa,5-20-700x-2-06,5.2,adaxial,NaN
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Galium_odoratum,6-21-400x-1-01,6.21,abaxial,NaN
Galium_odoratum,6-21-400x-1-02,6.21,abaxial,NaN
Galium_odoratum,6-21-400x-1-03,6.21,abaxial,NaN
Galium_odoratum,6-21-400x-1-04,6.21,abaxial,NaN
Alstroemeria_aurea,7-23-400x-1-01,7.23,abaxial,NaN
Alstroemeria_aurea,7-23-400x-1-03,7.23,abaxial,NaN
Alstroemeria_aurea,7-23-400x-1-04,7.23,abaxial,NaN
Alstroemeria_aurea,7-23-400x-1-05,7.23,abaxial,NaN
Hemerocallis_fulva,7-24-400x-1-03,7.24,abaxial,NaN
